sentence,entity1,entity2,relation
circuit is part of aircraft today,circuit,aircraft,part_of
karen was born in vienna recently,karen,vienna,born_in
grace is married to noah happily,grace,noah,married_to
mia actively learns at brown,mia,brown,studies_at
center is located in vienna,center,vienna,located_in
olivia is parent of jack officially,olivia,jack,parent_of
victor routinely handles linux carefully,victor,linux,uses
quinn was born in miami officially,quinn,miami,born_in
jack is married to noah officially,jack,noah,married_to
stadium is located in denver today,stadium,denver,located_in
grace is parent of zane officially,grace,zane,parent_of
carol often lives in phoenix today,carol,phoenix,lives_in
mia diligently trains at iisc,mia,iisc,studies_at
zane was born in boston,zane,boston,born_in
liam daily operates the pytorch carefully,liam,pytorch,uses
xavier often lives in madrid,xavier,madrid,lives_in
sam regularly operates the git carefully,sam,git,uses
irene routinely operates the slack effectively,irene,slack,uses
jack often resides in sydney,jack,sydney,lives_in
irene personally keeps house officially,irene,house,owns
irene legally holds console officially,irene,console,owns
battery is part of vehicle,battery,vehicle,part_of
henry often resides in dallas now,henry,dallas,lives_in
bob is parent of rachel,bob,rachel,parent_of
irene routinely handles the sql carefully,irene,sql,uses
library is located in zurich today,library,zurich,located_in
dave is married to mia legally,dave,mia,married_to
wendy is parent of irene legally,wendy,irene,parent_of
filter is part of drone today,filter,drone,part_of
rachel often resides in lisbon,rachel,lisbon,lives_in
jack actively studies at brown,jack,brown,studies_at
liam currently resides in boston daily,liam,boston,lives_in
olivia is married to xavier legally,olivia,xavier,married_to
grace is married to emma happily,grace,emma,married_to
studio is located in delhi,studio,delhi,located_in
mia often dwells in london daily,mia,london,lives_in
xavier securely owns the guitar officially,xavier,guitar,owns
karen was born in tokyo recently,karen,tokyo,born_in
gallery is located in paris today,gallery,paris,located_in
henry personally holds the boat officially,henry,boat,owns
xavier is married to zane,xavier,zane,married_to
mia is married to karen,mia,karen,married_to
grace regularly works at accenture today,grace,accenture,works_at
paul daily handles the sql effectively,paul,sql,uses
mia was born in sydney officially,mia,sydney,born_in
zane seriously trains at ucla daily,zane,ucla,studies_at
alice was born in berlin,alice,berlin,born_in
panel is part of drone today,panel,drone,part_of
campus is located in london,campus,london,located_in
yasmin was born in zurich historically,yasmin,zurich,born_in
emma securely holds the guitar officially,emma,guitar,owns
grace is parent of mia officially,grace,mia,parent_of
paul diligently trains at cambridge daily,paul,cambridge,studies_at
sam daily handles the tensorflow effectively,sam,tensorflow,uses
grace routinely handles the git today,grace,git,uses
wendy currently resides in paris today,wendy,paris,lives_in
module is part of server today,module,server,part_of
switch is part of system today,switch,system,part_of
frank regularly leads at nvidia now,frank,nvidia,works_at
mia actively works at oracle now,mia,oracle,works_at
jack is parent of emma officially,jack,emma,parent_of
museum is located in rome today,museum,rome,located_in
paul seriously studies at iisc now,paul,iisc,studies_at
rachel currently lives in rome,rachel,rome,lives_in
port is located in paris,port,paris,located_in
rachel daily uses the tableau effectively,rachel,tableau,uses
campus is located in london officially,campus,london,located_in
mia currently leads at microsoft now,mia,microsoft,works_at
bob is married to liam officially,bob,liam,married_to
alice regularly leads at amazon,alice,amazon,works_at
center is located in oslo,center,oslo,located_in
xavier is parent of tina officially,xavier,tina,parent_of
campus is located in zurich today,campus,zurich,located_in
tina diligently learns at ethz today,tina,ethz,studies_at
hospital is located in phoenix,hospital,phoenix,located_in
module is part of vehicle,module,vehicle,part_of
paul currently leads at oracle daily,paul,oracle,works_at
filter is part of cluster currently,filter,cluster,part_of
quinn usually dwells in madrid today,quinn,madrid,lives_in
wendy is parent of karen officially,wendy,karen,parent_of
victor is married to sam officially,victor,sam,married_to
dave actively studies at ucla today,dave,ucla,studies_at
emma regularly leads at intel daily,emma,intel,works_at
paul was born in london recently,paul,london,born_in
mia daily handles the slack effectively,mia,slack,uses
paul is married to olivia legally,paul,olivia,married_to
frank is parent of irene legally,frank,irene,parent_of
irene was born in seoul officially,irene,seoul,born_in
quinn regularly operates slack effectively,quinn,slack,uses
zane was born in london historically,zane,london,born_in
sam is married to xavier,sam,xavier,married_to
victor often lives in paris,victor,paris,lives_in
quinn currently works at adobe today,quinn,adobe,works_at
grace seriously studies at ucla now,grace,ucla,studies_at
zane diligently learns at duke daily,zane,duke,studies_at
noah actively trains at yale,noah,yale,studies_at
sensor is part of aircraft today,sensor,aircraft,part_of
frank was born in paris recently,frank,paris,born_in
carol is parent of yasmin biologically,carol,yasmin,parent_of
rachel currently serves at intel daily,rachel,intel,works_at
grace seriously trains at cornell daily,grace,cornell,studies_at
liam usually resides in seoul now,liam,seoul,lives_in
liam was born in rome recently,liam,rome,born_in
grace is parent of tina legally,grace,tina,parent_of
jack usually resides in seoul,jack,seoul,lives_in
olivia is married to rachel happily,olivia,rachel,married_to
henry is married to jack officially,henry,jack,married_to
wendy is parent of bob officially,wendy,bob,parent_of
dave currently dwells in dallas now,dave,dallas,lives_in
sam was born in berlin officially,sam,berlin,born_in
filter is part of aircraft currently,filter,aircraft,part_of
office is located in delhi today,office,delhi,located_in
quinn regularly handles the tensorflow today,quinn,tensorflow,uses
warehouse is located in miami currently,warehouse,miami,located_in
alice actively trains at ucla now,alice,ucla,studies_at
olivia actively learns at ethz now,olivia,ethz,studies_at
module is part of server,module,server,part_of
engine is part of aircraft officially,engine,aircraft,part_of
yasmin actively studies at cambridge,yasmin,cambridge,studies_at
zane is parent of liam biologically,zane,liam,parent_of
liam daily uses the linux carefully,liam,linux,uses
terminal is located in oslo currently,terminal,oslo,located_in
bob is parent of yasmin,bob,yasmin,parent_of
yasmin routinely uses linux today,yasmin,linux,uses
mia was born in boston officially,mia,boston,born_in
battery is part of device today,battery,device,part_of
jack regularly handles the slack effectively,jack,slack,uses
victor legally holds house officially,victor,house,owns
bob regularly works at samsung daily,bob,samsung,works_at
campus is located in dubai currently,campus,dubai,located_in
sam actively works at paypal,sam,paypal,works_at
zane seriously trains at brown now,zane,brown,studies_at
gallery is located in delhi officially,gallery,delhi,located_in
noah regularly leads at uber daily,noah,uber,works_at
noah regularly operates sql effectively,noah,sql,uses
liam personally keeps the guitar today,liam,guitar,owns
center is located in paris currently,center,paris,located_in
embassy is located in tokyo currently,embassy,tokyo,located_in
carol personally owns the tablet officially,carol,tablet,owns
noah is married to umar happily,noah,umar,married_to
tina routinely handles the kafka effectively,tina,kafka,uses
alice is parent of tina biologically,alice,tina,parent_of
stadium is located in sydney today,stadium,sydney,located_in
zane daily operates docker carefully,zane,docker,uses
dave actively works at tesla,dave,tesla,works_at
paul is parent of karen legally,paul,karen,parent_of
wendy was born in vienna,wendy,vienna,born_in
tina usually resides in seoul daily,tina,seoul,lives_in
henry daily handles the linux effectively,henry,linux,uses
zane is married to xavier happily,zane,xavier,married_to
valve is part of device,valve,device,part_of
jack actively serves at samsung today,jack,samsung,works_at
rachel securely keeps the phone today,rachel,phone,owns
rachel often lives in boston,rachel,boston,lives_in
xavier is married to mia,xavier,mia,married_to
xavier currently serves at adobe daily,xavier,adobe,works_at
dave currently leads at adobe,dave,adobe,works_at
liam securely holds the scooter today,liam,scooter,owns
frank regularly works at oracle daily,frank,oracle,works_at
zane was born in berlin historically,zane,berlin,born_in
sam currently serves at intel today,sam,intel,works_at
emma routinely handles tensorflow today,emma,tensorflow,uses
stadium is located in lisbon today,stadium,lisbon,located_in
liam was born in prague historically,liam,prague,born_in
olivia daily operates notion effectively,olivia,notion,uses
module is part of server currently,module,server,part_of
engine is part of server,engine,server,part_of
wendy regularly serves at ibm daily,wendy,ibm,works_at
jack is parent of frank officially,jack,frank,parent_of
frank currently resides in rome today,frank,rome,lives_in
xavier is married to grace legally,xavier,grace,married_to
irene was born in prague officially,irene,prague,born_in
carol personally keeps studio currently,carol,studio,owns
yasmin was born in zurich officially,yasmin,zurich,born_in
studio is located in prague currently,studio,prague,located_in
tina was born in tokyo recently,tina,tokyo,born_in
alice actively studies at mit,alice,mit,studies_at
mia diligently learns at cambridge,mia,cambridge,studies_at
yasmin regularly uses linux carefully,yasmin,linux,uses
grace was born in delhi officially,grace,delhi,born_in
emma routinely handles notion carefully,emma,notion,uses
yasmin is parent of grace legally,yasmin,grace,parent_of
emma routinely uses the tableau effectively,emma,tableau,uses
jack was born in sydney,jack,sydney,born_in
embassy is located in sydney currently,embassy,sydney,located_in
noah was born in dallas,noah,dallas,born_in
mia actively leads at microsoft today,mia,microsoft,works_at
paul is married to henry happily,paul,henry,married_to
dave seriously studies at ucsd daily,dave,ucsd,studies_at
dave often lives in berlin today,dave,berlin,lives_in
jack regularly works at zoom today,jack,zoom,works_at
port is located in dallas currently,port,dallas,located_in
module is part of server officially,module,server,part_of
valve is part of drone currently,valve,drone,part_of
tina actively serves at google now,tina,google,works_at
wendy actively leads at samsung today,wendy,samsung,works_at
battery is part of machine,battery,machine,part_of
umar is married to henry officially,umar,henry,married_to
stadium is located in paris,stadium,paris,located_in
umar is parent of frank biologically,umar,frank,parent_of
quinn currently leads at google daily,quinn,google,works_at
terminal is located in lisbon today,terminal,lisbon,located_in
sensor is part of vehicle currently,sensor,vehicle,part_of
office is located in berlin,office,berlin,located_in
emma diligently studies at iisc daily,emma,iisc,studies_at
liam actively leads at sap,liam,sap,works_at
sam is parent of olivia legally,sam,olivia,parent_of
bob is married to sam legally,bob,sam,married_to
mia seriously learns at cambridge,mia,cambridge,studies_at
noah securely holds scooter officially,noah,scooter,owns
yasmin legally owns the tablet officially,yasmin,tablet,owns
kernel is part of system today,kernel,system,part_of
rachel personally owns watch officially,rachel,watch,owns
zane personally holds tablet today,zane,tablet,owns
noah often dwells in seoul today,noah,seoul,lives_in
noah routinely uses notion carefully,noah,notion,uses
wendy is married to rachel,wendy,rachel,married_to
emma often resides in london daily,emma,london,lives_in
module is part of device today,module,device,part_of
umar regularly serves at spotify daily,umar,spotify,works_at
gear is part of system,gear,system,part_of
xavier is parent of henry biologically,xavier,henry,parent_of
henry seriously trains at cornell today,henry,cornell,studies_at
engine is part of drone today,engine,drone,part_of
henry was born in seoul,henry,seoul,born_in
henry diligently trains at iisc,henry,iisc,studies_at
victor currently dwells in paris today,victor,paris,lives_in
zane was born in denver,zane,denver,born_in
rachel is married to olivia legally,rachel,olivia,married_to
umar was born in seoul,umar,seoul,born_in
module is part of aircraft today,module,aircraft,part_of
paul is parent of victor legally,paul,victor,parent_of
jack regularly works at sap now,jack,sap,works_at
frank is married to henry happily,frank,henry,married_to
quinn is married to emma,quinn,emma,married_to
grace regularly handles pytorch effectively,grace,pytorch,uses
yasmin was born in phoenix officially,yasmin,phoenix,born_in
motor is part of aircraft currently,motor,aircraft,part_of
valve is part of aircraft today,valve,aircraft,part_of
karen regularly operates notion carefully,karen,notion,uses
tina is married to victor officially,tina,victor,married_to
olivia is married to paul happily,olivia,paul,married_to
emma routinely uses notion today,emma,notion,uses
umar actively learns at oxford,umar,oxford,studies_at
xavier is parent of mia legally,xavier,mia,parent_of
alice currently dwells in dallas now,alice,dallas,lives_in
olivia currently serves at netflix today,olivia,netflix,works_at
zane was born in boston historically,zane,boston,born_in
alice regularly leads at intel today,alice,intel,works_at
emma is parent of zane officially,emma,zane,parent_of
umar is married to noah happily,umar,noah,married_to
jack is parent of henry legally,jack,henry,parent_of
rachel is married to bob happily,rachel,bob,married_to
mia was born in zurich historically,mia,zurich,born_in
gallery is located in berlin today,gallery,berlin,located_in
noah usually resides in sydney daily,noah,sydney,lives_in
victor is married to umar legally,victor,umar,married_to
kernel is part of server today,kernel,server,part_of
xavier is married to carol officially,xavier,carol,married_to
karen legally keeps the guitar officially,karen,guitar,owns
yasmin daily uses the figma today,yasmin,figma,uses
museum is located in lisbon currently,museum,lisbon,located_in
quinn currently lives in lisbon now,quinn,lisbon,lives_in
grace routinely operates spark effectively,grace,spark,uses
wendy currently works at google daily,wendy,google,works_at
xavier securely holds console today,xavier,console,owns
circuit is part of robot,circuit,robot,part_of
emma is parent of noah biologically,emma,noah,parent_of
frank currently resides in miami now,frank,miami,lives_in
tina is parent of grace legally,tina,grace,parent_of
liam regularly uses the jira effectively,liam,jira,uses
emma is married to alice happily,emma,alice,married_to
factory is located in dubai officially,factory,dubai,located_in
switch is part of pipeline today,switch,pipeline,part_of
frank was born in prague recently,frank,prague,born_in
router is part of pipeline today,router,pipeline,part_of
wendy is parent of rachel,wendy,rachel,parent_of
yasmin seriously studies at cambridge now,yasmin,cambridge,studies_at
emma is married to bob officially,emma,bob,married_to
rachel often resides in paris,rachel,paris,lives_in
noah seriously learns at mit daily,noah,mit,studies_at
mia was born in denver recently,mia,denver,born_in
umar actively studies at oxford daily,umar,oxford,studies_at
victor personally keeps the printer officially,victor,printer,owns
bob was born in prague,bob,prague,born_in
center is located in berlin officially,center,berlin,located_in
dave was born in london,dave,london,born_in
airport is located in tokyo officially,airport,tokyo,located_in
dave actively leads at oracle now,dave,oracle,works_at
carol actively trains at ethz today,carol,ethz,studies_at
karen securely holds boat today,karen,boat,owns
liam often resides in miami now,liam,miami,lives_in
victor legally owns the phone currently,victor,phone,owns
alice actively trains at princeton daily,alice,princeton,studies_at
quinn often dwells in boston daily,quinn,boston,lives_in
victor daily uses the kafka effectively,victor,kafka,uses
filter is part of vehicle today,filter,vehicle,part_of
carol is married to dave legally,carol,dave,married_to
noah securely holds the phone officially,noah,phone,owns
plugin is part of robot officially,plugin,robot,part_of
umar is parent of yasmin legally,umar,yasmin,parent_of
mia often resides in tokyo now,mia,tokyo,lives_in
jack securely holds the scooter today,jack,scooter,owns
olivia is married to karen officially,olivia,karen,married_to
paul regularly serves at ibm daily,paul,ibm,works_at
module is part of network,module,network,part_of
bob was born in madrid officially,bob,madrid,born_in
gear is part of cluster,gear,cluster,part_of
wendy was born in london recently,wendy,london,born_in
mia securely keeps scooter currently,mia,scooter,owns
quinn was born in sydney historically,quinn,sydney,born_in
rachel personally holds the farm today,rachel,farm,owns
victor was born in denver historically,victor,denver,born_in
rachel is parent of henry,rachel,henry,parent_of
henry actively leads at oracle daily,henry,oracle,works_at
jack daily uses the tableau effectively,jack,tableau,uses
karen was born in seoul,karen,seoul,born_in
noah daily operates the tableau today,noah,tableau,uses
umar is parent of sam legally,umar,sam,parent_of
zane was born in tokyo,zane,tokyo,born_in
irene is married to emma officially,irene,emma,married_to
yasmin currently lives in delhi now,yasmin,delhi,lives_in
campus is located in delhi currently,campus,delhi,located_in
valve is part of platform currently,valve,platform,part_of
paul regularly works at spotify,paul,spotify,works_at
irene seriously studies at oxford daily,irene,oxford,studies_at
xavier was born in berlin historically,xavier,berlin,born_in
paul currently dwells in tokyo,paul,tokyo,lives_in
office is located in prague currently,office,prague,located_in
bob is parent of yasmin officially,bob,yasmin,parent_of
quinn legally owns the studio currently,quinn,studio,owns
quinn is married to irene,quinn,irene,married_to
bob is parent of xavier biologically,bob,xavier,parent_of
quinn seriously studies at ucsd,quinn,ucsd,studies_at
tina currently works at sap,tina,sap,works_at
paul regularly uses the docker carefully,paul,docker,uses
embassy is located in paris today,embassy,paris,located_in
hospital is located in dubai currently,hospital,dubai,located_in
library is located in rome officially,library,rome,located_in
liam seriously studies at oxford now,liam,oxford,studies_at
yasmin is married to umar officially,yasmin,umar,married_to
gear is part of system today,gear,system,part_of
noah securely keeps studio today,noah,studio,owns
carol diligently trains at iisc today,carol,iisc,studies_at
rachel seriously studies at brown daily,rachel,brown,studies_at
noah was born in prague,noah,prague,born_in
bob was born in sydney,bob,sydney,born_in
umar actively leads at samsung,umar,samsung,works_at
gallery is located in delhi today,gallery,delhi,located_in
quinn daily operates the notion carefully,quinn,notion,uses
rachel was born in seoul,rachel,seoul,born_in
frank is parent of paul officially,frank,paul,parent_of
olivia regularly operates the kafka effectively,olivia,kafka,uses
grace securely keeps guitar officially,grace,guitar,owns
alice regularly serves at uber daily,alice,uber,works_at
alice is parent of zane,alice,zane,parent_of
yasmin securely holds printer currently,yasmin,printer,owns
paul regularly serves at siemens now,paul,siemens,works_at
victor usually dwells in phoenix today,victor,phoenix,lives_in
hospital is located in paris currently,hospital,paris,located_in
henry often resides in tokyo now,henry,tokyo,lives_in
olivia seriously learns at ethz now,olivia,ethz,studies_at
wendy is married to jack legally,wendy,jack,married_to
liam seriously learns at cambridge today,liam,cambridge,studies_at
olivia personally owns the printer officially,olivia,printer,owns
irene actively leads at uber daily,irene,uber,works_at
liam often resides in vienna today,liam,vienna,lives_in
warehouse is located in zurich today,warehouse,zurich,located_in
rachel actively studies at yale today,rachel,yale,studies_at
jack regularly works at nvidia daily,jack,nvidia,works_at
bob actively leads at paypal,bob,paypal,works_at
tina daily handles the pytorch today,tina,pytorch,uses
library is located in phoenix officially,library,phoenix,located_in
museum is located in oslo officially,museum,oslo,located_in
yasmin usually resides in lisbon now,yasmin,lisbon,lives_in
dave was born in prague officially,dave,prague,born_in
olivia daily operates the linux carefully,olivia,linux,uses
jack is parent of liam legally,jack,liam,parent_of
karen usually dwells in berlin daily,karen,berlin,lives_in
jack personally owns the house today,jack,house,owns
carol was born in madrid historically,carol,madrid,born_in
panel is part of cluster today,panel,cluster,part_of
router is part of system,router,system,part_of
engine is part of platform,engine,platform,part_of
grace is parent of xavier,grace,xavier,parent_of
emma often resides in dubai today,emma,dubai,lives_in
noah daily operates git effectively,noah,git,uses
tina routinely uses tensorflow carefully,tina,tensorflow,uses
grace daily uses git effectively,grace,git,uses
switch is part of platform,switch,platform,part_of
frank often dwells in seoul daily,frank,seoul,lives_in
sensor is part of device currently,sensor,device,part_of
grace actively studies at ethz daily,grace,ethz,studies_at
liam currently serves at amazon daily,liam,amazon,works_at
sam is married to bob happily,sam,bob,married_to
factory is located in seoul officially,factory,seoul,located_in
sam often dwells in denver daily,sam,denver,lives_in
quinn routinely handles the sql effectively,quinn,sql,uses
paul is parent of sam biologically,paul,sam,parent_of
victor often resides in delhi now,victor,delhi,lives_in
alice diligently studies at stanford,alice,stanford,studies_at
emma currently serves at amazon now,emma,amazon,works_at
library is located in paris,library,paris,located_in
henry securely keeps camera today,henry,camera,owns
frank diligently trains at cornell today,frank,cornell,studies_at
zane securely holds bicycle currently,zane,bicycle,owns
paul diligently learns at ucla today,paul,ucla,studies_at
liam is married to zane legally,liam,zane,married_to
valve is part of server,valve,server,part_of
rachel actively leads at nvidia today,rachel,nvidia,works_at
mia is parent of zane legally,mia,zane,parent_of
xavier is parent of bob,xavier,bob,parent_of
liam actively works at adobe,liam,adobe,works_at
wendy routinely operates the excel carefully,wendy,excel,uses
umar actively serves at zoom now,umar,zoom,works_at
bob legally owns house officially,bob,house,owns
grace is married to alice legally,grace,alice,married_to
zane actively works at paypal,zane,paypal,works_at
bob is parent of paul,bob,paul,parent_of
rachel securely keeps watch currently,rachel,watch,owns
frank actively studies at duke now,frank,duke,studies_at
victor was born in sydney recently,victor,sydney,born_in
zane routinely operates the spark today,zane,spark,uses
paul seriously trains at yale now,paul,yale,studies_at
gear is part of drone currently,gear,drone,part_of
mia was born in dubai recently,mia,dubai,born_in
quinn routinely operates tableau effectively,quinn,tableau,uses
grace often lives in tokyo daily,grace,tokyo,lives_in
victor personally holds bicycle officially,victor,bicycle,owns
yasmin is married to mia happily,yasmin,mia,married_to
carol actively learns at epfl now,carol,epfl,studies_at
noah regularly leads at adobe now,noah,adobe,works_at
campus is located in boston,campus,boston,located_in
alice often lives in rome,alice,rome,lives_in
yasmin often resides in madrid now,yasmin,madrid,lives_in
alice regularly serves at uber today,alice,uber,works_at
stadium is located in oslo currently,stadium,oslo,located_in
paul is married to wendy,paul,wendy,married_to
factory is located in rome today,factory,rome,located_in
mia regularly uses the git today,mia,git,uses
olivia was born in boston officially,olivia,boston,born_in
xavier securely keeps laptop today,xavier,laptop,owns
grace often lives in london,grace,london,lives_in
screen is part of system today,screen,system,part_of
frank diligently trains at yale daily,frank,yale,studies_at
dave is parent of alice,dave,alice,parent_of
tina currently serves at airbnb daily,tina,airbnb,works_at
museum is located in london officially,museum,london,located_in
rachel usually dwells in paris today,rachel,paris,lives_in
quinn was born in rome officially,quinn,rome,born_in
hospital is located in vienna today,hospital,vienna,located_in
gallery is located in phoenix officially,gallery,phoenix,located_in
quinn currently leads at sap,quinn,sap,works_at
engine is part of device today,engine,device,part_of
rachel was born in prague,rachel,prague,born_in
victor was born in dubai historically,victor,dubai,born_in
kernel is part of server currently,kernel,server,part_of
frank usually lives in zurich now,frank,zurich,lives_in
grace currently works at nvidia,grace,nvidia,works_at
tina is married to mia officially,tina,mia,married_to
xavier securely keeps the house today,xavier,house,owns
frank currently serves at oracle now,frank,oracle,works_at
irene was born in phoenix officially,irene,phoenix,born_in
olivia was born in seoul historically,olivia,seoul,born_in
victor was born in madrid,victor,madrid,born_in
jack routinely operates spark today,jack,spark,uses
olivia daily operates figma effectively,olivia,figma,uses
router is part of drone currently,router,drone,part_of
zane regularly leads at intel now,zane,intel,works_at
bob securely owns bicycle officially,bob,bicycle,owns
liam is parent of zane legally,liam,zane,parent_of
emma actively studies at princeton daily,emma,princeton,studies_at
jack securely owns studio today,jack,studio,owns
filter is part of cluster,filter,cluster,part_of
noah actively leads at accenture today,noah,accenture,works_at
battery is part of machine officially,battery,machine,part_of
yasmin currently serves at samsung,yasmin,samsung,works_at
paul is married to umar officially,paul,umar,married_to
henry regularly serves at samsung daily,henry,samsung,works_at
bob was born in denver historically,bob,denver,born_in
olivia regularly handles the spark carefully,olivia,spark,uses
xavier daily handles the linux carefully,xavier,linux,uses
yasmin is married to dave legally,yasmin,dave,married_to
victor is parent of tina legally,victor,tina,parent_of
alice personally holds farm currently,alice,farm,owns
frank seriously studies at iisc daily,frank,iisc,studies_at
emma diligently learns at iisc daily,emma,iisc,studies_at
tina is married to olivia officially,tina,olivia,married_to
dave actively studies at princeton daily,dave,princeton,studies_at
quinn actively works at ibm daily,quinn,ibm,works_at
warehouse is located in rome currently,warehouse,rome,located_in
jack securely holds the watch today,jack,watch,owns
sam was born in london,sam,london,born_in
carol is parent of sam officially,carol,sam,parent_of
grace regularly uses tensorflow today,grace,tensorflow,uses
yasmin diligently trains at ucsd,yasmin,ucsd,studies_at
bob regularly operates the docker carefully,bob,docker,uses
quinn is parent of bob officially,quinn,bob,parent_of
grace was born in dallas,grace,dallas,born_in
port is located in dubai today,port,dubai,located_in
victor was born in vienna officially,victor,vienna,born_in
carol regularly operates the excel today,carol,excel,uses
rachel routinely uses tableau effectively,rachel,tableau,uses
sam is parent of zane,sam,zane,parent_of
emma is married to olivia,emma,olivia,married_to
engine is part of device currently,engine,device,part_of
frank is parent of jack biologically,frank,jack,parent_of
center is located in boston today,center,boston,located_in
grace is parent of umar,grace,umar,parent_of
karen was born in dubai historically,karen,dubai,born_in
irene daily operates the git effectively,irene,git,uses
embassy is located in delhi officially,embassy,delhi,located_in
center is located in delhi,center,delhi,located_in
karen daily handles docker carefully,karen,docker,uses
karen was born in rome,karen,rome,born_in
irene is married to quinn,irene,quinn,married_to
karen often lives in dallas,karen,dallas,lives_in
mia regularly operates the figma today,mia,figma,uses
umar diligently trains at cornell now,umar,cornell,studies_at
emma was born in prague historically,emma,prague,born_in
tina is parent of mia biologically,tina,mia,parent_of
liam actively learns at stanford now,liam,stanford,studies_at
hospital is located in madrid,hospital,madrid,located_in
karen usually lives in vienna now,karen,vienna,lives_in
wendy is parent of yasmin officially,wendy,yasmin,parent_of
quinn daily handles the spark today,quinn,spark,uses
grace usually resides in denver now,grace,denver,lives_in
alice was born in zurich recently,alice,zurich,born_in
bob was born in dallas officially,bob,dallas,born_in
noah diligently trains at brown daily,noah,brown,studies_at
victor routinely operates the git today,victor,git,uses
quinn is parent of olivia,quinn,olivia,parent_of
yasmin personally keeps console today,yasmin,console,owns
plugin is part of server currently,plugin,server,part_of
rachel diligently learns at yale now,rachel,yale,studies_at
kernel is part of drone officially,kernel,drone,part_of
quinn is married to mia legally,quinn,mia,married_to
zane seriously learns at nus now,zane,nus,studies_at
alice legally holds the camera today,alice,camera,owns
frank diligently studies at cornell,frank,cornell,studies_at
jack is married to noah legally,jack,noah,married_to
victor currently works at nvidia daily,victor,nvidia,works_at
olivia is married to zane officially,olivia,zane,married_to
karen seriously learns at brown,karen,brown,studies_at
victor is parent of mia legally,victor,mia,parent_of
mia diligently learns at brown,mia,brown,studies_at
yasmin was born in miami recently,yasmin,miami,born_in
rachel usually resides in lisbon now,rachel,lisbon,lives_in
airport is located in paris,airport,paris,located_in
henry regularly serves at google,henry,google,works_at
screen is part of aircraft currently,screen,aircraft,part_of
tina usually dwells in sydney now,tina,sydney,lives_in
alice often resides in berlin today,alice,berlin,lives_in
rachel currently dwells in tokyo daily,rachel,tokyo,lives_in
victor currently lives in prague now,victor,prague,lives_in
paul is married to olivia happily,paul,olivia,married_to
quinn was born in madrid,quinn,madrid,born_in
emma was born in berlin officially,emma,berlin,born_in
terminal is located in prague,terminal,prague,located_in
olivia was born in oslo officially,olivia,oslo,born_in
valve is part of network today,valve,network,part_of
liam is married to zane officially,liam,zane,married_to
grace is parent of xavier biologically,grace,xavier,parent_of
carol daily handles docker carefully,carol,docker,uses
henry is parent of xavier officially,henry,xavier,parent_of
frank personally holds studio officially,frank,studio,owns
module is part of robot currently,module,robot,part_of
dave currently lives in denver,dave,denver,lives_in
victor is parent of sam legally,victor,sam,parent_of
umar daily handles the git carefully,umar,git,uses
noah diligently learns at ucla daily,noah,ucla,studies_at
irene regularly uses the tableau effectively,irene,tableau,uses
grace seriously learns at harvard,grace,harvard,studies_at
noah currently lives in paris daily,noah,paris,lives_in
mia seriously learns at duke now,mia,duke,studies_at
terminal is located in tokyo,terminal,tokyo,located_in
tina diligently trains at ucla daily,tina,ucla,studies_at
warehouse is located in seoul currently,warehouse,seoul,located_in
quinn is married to jack,quinn,jack,married_to
rachel is parent of quinn officially,rachel,quinn,parent_of
mia was born in prague,mia,prague,born_in
tina routinely handles docker today,tina,docker,uses
carol is parent of victor,carol,victor,parent_of
rachel regularly leads at accenture,rachel,accenture,works_at
henry actively leads at zoom now,henry,zoom,works_at
bob securely owns scooter currently,bob,scooter,owns
noah is parent of zane biologically,noah,zane,parent_of
paul is parent of carol legally,paul,carol,parent_of
bob seriously learns at ucla daily,bob,ucla,studies_at
xavier actively learns at iisc daily,xavier,iisc,studies_at
mia was born in paris recently,mia,paris,born_in
panel is part of network today,panel,network,part_of
olivia is parent of bob,olivia,bob,parent_of
filter is part of vehicle currently,filter,vehicle,part_of
frank routinely uses jira effectively,frank,jira,uses
studio is located in zurich,studio,zurich,located_in
wendy diligently learns at princeton,wendy,princeton,studies_at
alice is parent of emma officially,alice,emma,parent_of
kernel is part of cluster officially,kernel,cluster,part_of
quinn currently resides in zurich daily,quinn,zurich,lives_in
zane is married to yasmin officially,zane,yasmin,married_to
karen daily operates excel carefully,karen,excel,uses
karen currently resides in dallas today,karen,dallas,lives_in
quinn often resides in seoul now,quinn,seoul,lives_in
henry actively learns at nus now,henry,nus,studies_at
plugin is part of vehicle officially,plugin,vehicle,part_of
irene seriously learns at epfl daily,irene,epfl,studies_at
irene is parent of xavier,irene,xavier,parent_of
plugin is part of platform,plugin,platform,part_of
liam is parent of zane biologically,liam,zane,parent_of
carol is married to umar,carol,umar,married_to
tina seriously studies at brown now,tina,brown,studies_at
jack daily handles the python effectively,jack,python,uses
tina securely owns the car today,tina,car,owns
irene securely owns guitar today,irene,guitar,owns
emma usually resides in dubai daily,emma,dubai,lives_in
tina is married to henry officially,tina,henry,married_to
zane seriously trains at mit daily,zane,mit,studies_at
grace legally holds laptop officially,grace,laptop,owns
wendy is married to alice officially,wendy,alice,married_to
wendy daily uses the tensorflow carefully,wendy,tensorflow,uses
jack securely holds the studio today,jack,studio,owns
jack personally holds phone currently,jack,phone,owns
mia was born in denver officially,mia,denver,born_in
victor actively studies at oxford now,victor,oxford,studies_at
module is part of cluster today,module,cluster,part_of
emma personally keeps boat currently,emma,boat,owns
